id_participant,G1,SP1,SP2,SP3,SP4,SP5,INV1,INV2,INV3,INV4,REAL1,REAL2,REAL3,REAL4,spatial_presence,involvment,realism
17,2,3,-3,3,2,2,3,3,-3,1,-1,1,-2,-2,7,4,-4
6,3,3,-2,3,3,3,1,-3,2,1,1,2,0,-3,10,1,0
11,3,-2,-2,2,2,2,2,-1,0,2,2,3,3,-1,2,3,7
1,3,1,-1,3,3,2,3,2,0,2,2,3,1,-1,8,7,5
0,3,1,-2,-1,-1,-2,2,0,1,2,2,2,2,-1,-5,5,5
15,2,2,-2,-3,3,3,3,3,-3,3,2,3,2,2,3,6,9
7,3,3,-2,3,3,3,-2,-3,2,1,2,2,2,-3,10,-2,3
2,1,1,-1,-1,1,1,0,1,-1,-1,-1,1,-1,-2,1,-1,-3
8,3,0,-3,3,3,3,-1,-1,1,1,3,3,-1,2,6,0,7
32,-2,-1,2,0,3,-2,-3,-3,3,-2,-1,-1,-1,-3,2,-5,-6
3,3,3,2,2,0,3,2,3,-1,3,2,3,3,0,10,7,8
44,3,3,-3,-3,3,3,-3,-2,-2,2,2,3,3,3,3,-5,11
4,3,3,-3,-3,3,3,3,3,-3,3,3,3,-3,0,3,6,3
5,1,1,-1,1,2,1,1,-1,-1,1,-2,1,-2,-3,4,0,-6
1,3,3,-2,2,3,2,2,1,1,2,1,2,0,0,8,6,3
9,1,2,-2,-2,1,2,-2,-2,2,1,1,1,1,-3,1,-1,0
10,3,3,-2,-3,-1,3,-3,2,-3,3,3,3,3,-2,0,-1,7
20,2,3,-2,3,3,3,-1,3,-3,3,3,3,2,1,10,2,9
12,3,2,-2,3,3,3,3,2,1,3,2,3,1,1,9,9,7
18,2,3,-3,3,3,3,1,-2,2,2,2,-2,2,-3,9,3,-1
24,1,1,-3,1,-1,2,1,-3,1,1,0,3,-1,-3,0,0,-1
13,3,3,-2,2,3,2,2,1,1,2,1,2,0,0,8,6,3
14,2,2,-3,2,3,2,-1,1,-1,1,1,2,2,-1,6,0,4
35,3,2,-2,2,3,2,0,0,3,3,1,2,1,-3,7,6,1
16,1,2,-1,-2,2,2,2,2,-2,2,1,2,1,-2,3,4,2
34,2,2,-2,-3,-1,2,2,3,-3,2,2,3,2,-2,-2,4,5
25,3,3,-3,3,3,3,-1,1,-2,3,3,2,2,0,9,1,7
22,2,3,1,2,1,2,1,-1,1,1,-2,-1,-2,-1,9,2,-6
27,2,2,1,2,2,1,-1,1,-1,1,1,1,-1,-2,8,0,-1
43,3,2,-3,-3,3,3,2,-1,1,2,2,2,2,-2,2,4,4
19,3,3,-1,3,3,3,-2,-1,2,3,2,2,2,-1,11,2,5
21,2,1,-2,2,1,2,2,-1,2,1,1,2,1,-1,4,4,3
36,3,3,-3,3,3,3,2,1,-2,3,2,2,2,-2,9,4,4
23,2,3,-2,3,2,2,2,-3,3,3,2,2,1,-1,8,5,4
39,3,3,-2,3,3,3,2,2,-1,3,2,2,1,-2,10,6,3
28,2,1,-2,2,1,2,1,0,-2,1,-1,3,-1,-3,4,0,-2
29,2,2,-1,3,3,3,0,-1,-3,3,0,1,-3,-2,10,-1,-4
30,2,0,-3,2,3,1,1,2,-3,2,2,2,2,-1,3,2,5
31,3,3,-3,3,-3,3,2,3,-3,3,3,3,2,1,3,5,9
42,1,1,-2,-1,2,2,-1,0,1,1,2,2,1,-2,2,1,3
33,2,2,-3,3,2,2,-1,-1,1,2,2,1,-2,-2,6,1,-1
37,2,3,-3,2,2,2,0,0,-2,2,-1,2,-2,-3,6,0,-4
38,2,2,-2,-2,2,3,3,2,-1,1,2,2,2,0,3,5,6
40,1,2,1,-1,1,1,-1,-1,1,0,1,2,0,-2,4,-1,1
41,2,3,-2,2,2,3,-3,0,2,2,3,2,2,2,8,1,9
45,3,2,0,-3,1,3,-1,-1,1,2,2,3,-1,-2,3,1,2
46,3,3,-3,3,3,3,2,-1,1,3,2,1,2,1,9,5,6
