id,height_condition,social_framing,participant_y,participant_x,participant_z,drone_x,drone_z,drone_y,time,participant_drone_distance,velocity
7,Eye_Level,False,0,-217.5,25.5,80,0,0,5.045152,298.5909,0
7,end,False,153.4458,-217.6774,78.33196,80,0,0,5.769822,343.938,0.003781925
7,end,False,153.4647,-217.609,78.37151,80,0,0,5.997458,343.8962,0.0053783
7,end,False,152.4951,-217.4945,78.32111,80,0,0,6.218572,343.3539,0.1124569
7,end,False,147.5837,-218.3551,77.2682,80,0,0,6.431071,341.712,0.3289117
7,end,False,142.8859,-220.2376,75.60974,80,0,0,6.637699,340.9925,0.2412307
7,end,False,139.1154,-222.2209,74.19489,80,0,0,6.843948,340.8745,0.1648232
7,end,False,138.6735,-223.1385,75.45329,80,0,0,7.053201,341.7843,0.1259242
7,end,False,139.523,-224.1084,78.7972,80,0,0,7.265334,343.7406,0.1698191
7,end,False,140.3882,-225.8836,81.70818,80,0,0,7.476861,346.3377,0.1591463
7,end,False,140.4727,-228.0321,83.92641,80,0,0,7.68692,348.7979,0.1132765
7,end,False,140.3112,-229.642,85.33825,80,0,0,7.896562,350.4968,0.1233818
7,end,False,140.2942,-230.4805,85.80747,80,0,0,8.105822,351.3452,0.01562325
7,end,False,140.7821,-230.2892,85.35282,80,0,0,8.31476,351.2607,0.06819744
7,end,False,141.9122,-228.9548,83.75575,80,0,0,8.524268,350.1531,0.1589713
7,end,False,142.6951,-226.4667,81.6918,80,0,0,8.731143,347.7891,0.1536964
7,end,False,143.0499,-223.9791,79.96439,80,0,0,8.936925,345.3417,0.1426473
7,end,False,142.9722,-222.1395,79.39457,80,0,0,9.144459,343.5591,0.09978516
7,end,False,143.0942,-220.7827,79.14216,80,0,0,9.353571,342.359,0.03310981
7,end,False,143.2038,-220.9002,78.86263,80,0,0,9.561253,342.4435,0.01271521
7,end,False,143.0075,-221.2271,78.35408,80,0,0,9.771995,342.5321,0.02813872
7,end,False,143.0354,-221.202,78.04385,80,0,0,9.982102,342.4509,0.02461111
7,end,False,142.9154,-221.1016,77.89674,80,0,0,10.19077,342.279,0.01312342
7,end,False,142.8946,-221.1173,77.80786,80,0,0,10.39932,342.2639,0.005379195
7,end,False,142.9012,-221.1984,77.90014,80,0,0,10.60823,342.3589,0.004826705
7,end,False,142.8463,-221.4131,77.92504,80,0,0,10.81718,342.5306,0.01402852
7,end,False,142.8485,-221.7786,78.09267,80,0,0,11.02553,342.8914,0.02499853
7,end,False,142.4126,-221.8762,77.98859,80,0,0,11.24435,342.7723,0.05120822
7,end,False,141.6871,-220.8511,77.13649,80,0,0,11.45593,341.3747,0.1044745
7,end,False,141.396,-219.1954,76.00189,80,0,0,11.72679,339.5394,0.04879887
7,end,False,141.3369,-219.019,76.13686,80,0,0,11.94519,339.3896,0.02786533
7,end,False,140.8727,-220.4737,77.12554,80,0,0,12.16729,340.7021,0.1304038
7,end,False,139.7886,-223.0101,77.89276,80,0,0,12.38983,342.6707,0.1075094
7,end,False,139.6505,-223.79,77.43264,80,0,0,12.61547,343.2003,0.0308208
7,end,False,139.3559,-223.8086,76.744,80,0,0,12.83778,342.9423,0.01892833
7,end,False,138.9995,-224.1633,76.76562,80,0,0,13.05748,343.1168,0.02471704
7,end,False,138.8444,-224.2085,76.63261,80,0,0,13.28275,343.0643,0.009031775
7,end,False,138.5666,-224.4116,76.61118,80,0,0,13.50574,343.1274,0.01880457
7,end,False,138.3907,-224.4484,76.48058,80,0,0,13.72807,343.0599,0.01136614
7,end,False,137.297,-225.7654,77.7524,80,0,0,13.95018,344.0761,0.1554707
7,end,False,135.6739,-228.6367,80.69457,80,0,0,14.16421,346.6635,0.1692604
7,end,False,133.3391,-231.2119,83.59311,80,0,0,14.37651,348.7405,0.1608372
7,end,False,131.6802,-232.9381,85.14895,80,0,0,14.58626,350.0289,0.09802843
7,end,False,130.7807,-234.0333,85.50804,80,0,0,14.79479,350.7593,0.03698377
7,end,False,130.655,-234.5098,85.17646,80,0,0,15.00507,351.0586,0.0286408
7,end,False,130.9922,-234.1095,84.67818,80,0,0,15.21225,350.7052,0.04017656
7,end,False,131.1462,-233.3614,84.49542,80,0,0,15.42205,350.0488,0.03548763
7,end,False,131.306,-232.6422,84.49735,80,0,0,15.63001,349.4657,0.0225485
7,end,False,131.527,-232.1286,84.47048,80,0,0,15.83971,349.0829,0.02218666
7,end,False,131.8082,-231.8121,84.42096,80,0,0,16.04708,348.8941,0.02213822
7,end,False,131.8805,-231.7126,83.96879,80,0,0,16.25662,348.7233,0.03065238
7,end,False,132.5394,-231.5485,83.38927,80,0,0,16.46557,348.6875,0.06884483
7,end,False,133.6252,-231.7357,81.5966,80,0,0,16.67301,348.845,0.06964118
7,end,False,135.1256,-232.146,79.82552,80,0,0,16.92077,349.3796,0.1165561
7,end,False,135.5858,-232.8712,78.2375,80,0,0,17.14071,349.8471,0.06415445
7,end,False,136.766,-231.8302,75.72771,80,0,0,17.36293,348.8233,0.1883268
7,end,False,138.6031,-225.6766,70.62016,80,0,0,17.58547,342.9813,0.4910327
7,end,False,140.4747,-216.9374,62.65854,80,0,0,17.80796,334.4115,0.5135232
