id_participant,Social,Organic,Compassionate,Emotional,Capable,Responsive,Interactive,Reliable,Competent,Knowledgable,Scary,Strange,Awkward,Dangerous,Awful,Aggressive,Happy,Feeling,warmth,competence,discomfort
0,6,6,4,5,6,6,7,7,4,5,2,2,2,3,2,3,7,7,5.83333333333333,5.83333333333333,2.33333333333333
1,2,1,1,2,7,8,8,7,8,5,3,1,2,4,1,4,3,1,1.66666666666667,7.16666666666667,2.5
2,7,2,7,7,7,7,7,9,4,4,3,3,3,3,3,3,8,7,6.33333333333333,6.33333333333333,3
3,7,7,7,5,8,8,7,8,7,9,1,4,2,3,2,1,8,4,6.33333333333333,7.83333333333333,2.16666666666667
4,7,3,3,6,7,7,7,7,7,7,2,2,2,2,2,2,2,7,4.66666666666667,7,2
5,6,3,1,2,4,4,6,4,2,2,3,6,6,6,3,3,1,1,2.33333333333333,3.66666666666667,4.5
6,4,3,1,1,7,5,4,6,6,8,1,2,1,2,1,1,7,2,3,6,1.33333333333333
7,3,1,3,3,7,9,9,8,8,8,1,1,1,1,1,1,5,3,3,8.16666666666667,1
8,9,8,9,3,7,9,8,6,4,7,2,5,4,1,2,1,9,8,7.66666666666667,6.83333333333333,2.5
9,6,3,5,3,4,7,7,6,5,6,3,1,4,3,1,1,6,2,4.16666666666667,5.83333333333333,2.16666666666667
10,6,3,3,4,8,7,7,4,8,5,4,2,6,3,4,3,8,4,4.66666666666667,6.5,3.66666666666667
11,4,1,1,2,8,6,4,7,8,4,3,2,5,6,1,5,3,4,2.5,6.16666666666667,3.66666666666667
12,2,2,1,3,5,7,4,8,7,6,7,6,7,8,1,4,6,2,2.66666666666667,6.16666666666667,5.5
1,8,7,9,7,9,8,8,8,8,7,1,2,2,3,1,1,9,8,8,8,1.66666666666667
13,8,7,9,7,9,8,8,8,8,7,1,2,2,3,1,1,9,8,8,8,1.66666666666667
14,3,3,1,1,7,7,8,5,8,7,2,7,2,6,1,3,5,1,2.33333333333333,7,3.5
15,3,3,1,1,6,7,3,6,7,7,5,7,4,3,2,2,1,1,1.66666666666667,6,3.83333333333333
16,5,5,2,5,7,7,6,8,7,7,1,2,2,2,2,2,1,2,3.33333333333333,7,1.83333333333333
17,1,1,1,1,9,9,9,7,6,7,1,1,1,3,1,1,1,1,1,7.83333333333333,1.33333333333333
18,1,6,1,1,6,6,6,6,6,3,6,7,7,8,2,8,1,1,1.83333333333333,5.5,6.33333333333333
19,6,2,1,2,8,9,9,8,9,9,1,1,1,1,1,1,5,6,3.66666666666667,8.66666666666667,1
20,6,4,8,7,8,9,9,8,8,8,2,4,3,3,1,1,7,9,6.83333333333333,8.33333333333333,2.33333333333333
21,4,4,3,3,7,6,7,7,7,6,1,5,2,5,1,4,7,4,4.16666666666667,6.66666666666667,3
22,6,3,4,4,5,4,8,4,5,8,1,2,1,3,1,1,7,3,4.5,5.66666666666667,1.5
23,5,1,5,5,7,8,9,6,7,7,1,5,4,3,1,1,9,5,5,7.33333333333333,2.5
24,6,5,4,1,9,9,9,6,5,8,2,1,6,2,1,4,4,4,4,7.66666666666667,2.66666666666667
25,4,1,5,3,5,6,5,4,6,4,1,1,8,1,1,1,9,2,4,5,2.16666666666667
27,1,1,1,1,5,7,7,4,5,5,1,4,1,1,1,1,1,1,1,5.5,1.5
28,9,2,7,4,8,9,9,7,8,8,1,2,3,2,1,1,5,3,5,8.16666666666667,1.66666666666667
29,1,1,1,1,9,9,9,5,9,5,1,1,1,3,1,1,1,1,1,7.66666666666667,1.33333333333333
30,4,4,1,1,7,7,5,7,2,6,1,3,4,3,1,1,1,1,2,5.66666666666667,2.16666666666667
31,9,8,8,7,9,7,9,7,5,6,2,1,1,1,1,1,9,7,8,7.16666666666667,1.16666666666667
32,3,4,1,2,6,4,6,7,7,6,4,4,4,3,2,2,1,2,2.16666666666667,6,3.16666666666667
33,4,5,5,6,5,6,6,4,5,5,1,3,4,4,1,1,9,7,6,5.16666666666667,2.33333333333333
34,5,1,1,1,7,7,6,5,6,7,1,1,1,1,1,1,3,3,2.33333333333333,6.33333333333333,1
35,1,1,1,1,2,3,3,2,5,2,4,3,3,2,1,1,2,1,1.16666666666667,2.83333333333333,2.33333333333333
36,2,1,2,1,3,8,8,4,5,6,3,3,4,2,2,2,2,1,1.5,5.66666666666667,2.66666666666667
37,3,5,2,2,8,7,8,8,8,8,2,2,5,4,1,2,7,5,4,7.83333333333333,2.66666666666667
38,3,4,2,2,5,6,8,4,7,6,2,5,2,2,1,3,3,2,2.66666666666667,6,2.5
39,7,1,3,2,6,6,7,3,3,5,1,2,2,3,1,1,1,1,2.5,5,1.66666666666667
40,2,3,2,2,7,8,8,4,7,4,4,5,3,4,1,3,2,2,2.16666666666667,6.33333333333333,3.33333333333333
41,7,5,7,7,7,8,8,6,7,7,2,4,3,2,3,4,8,6,6.66666666666667,7.16666666666667,3
42,7,5,6,5,7,8,8,7,7,8,4,5,5,5,1,4,5,5,5.5,7.5,4
43,2,2,4,4,3,2,5,3,2,2,1,1,1,1,1,1,3,4,3.16666666666667,2.83333333333333,1
44,7,3,5,7,7,7,8,5,5,7,6,5,6,7,7,4,7,7,6,6.5,5.83333333333333
45,2,1,1,2,8,8,8,8,7,8,1,2,1,1,1,1,9,3,3,7.83333333333333,1.16666666666667
46,8,5,6,1,7,9,8,7,7,6,2,5,1,4,1,2,5,2,4.5,7.33333333333333,2.5
